	appid	category	rating	review	sentiment
0	com.herzick.houseparty	social	4	I like it so far! It is a great app to use during social distancing for sure! It keeps you connected to friends and family that lives outside of your home. I would like to see more games if possible and filters fun ones as well as ones that make you look better when you get an unexpected request and you're a mess! Lmao😂 Thank you to the developers of this app! Great job and what great timing!!!	{'neg': 0.038, 'neu': 0.592, 'pos': 0.369, 'compound': 0.9898}
1	com.herzick.houseparty	social	2	I have the OnePlus 7 Pro phone which features a pop-up selfie-camera. I can tell you, this app constantly messes with the camera, and it's super frustrating. It doesn't need to use my camera when I'm not engaged in any actives, and just changing settings and adding friends. 😡 And for others, it's a privacy concern when an app is constantly turning on the camera for use. For me it's obvious, but for many people, they wouldn't even know... and the app could be watching.	{'neg': 0.039, 'neu': 0.894, 'pos': 0.067, 'compound': 0.3551}
2	com.herzick.houseparty	social	3	This is a great app, great concept, my only complaint is that if you want to be with more than 2 people in the call, the app starts to freeze for everybody especially during games. So is not friendly for more than 2 people calls	{'neg': 0.093, 'neu': 0.712, 'pos': 0.195, 'compound': 0.6817}
3	com.herzick.houseparty	social	4	It is a very useful and wonderful app over all but I just wanted to write about something that could be useful to many people including myself along with the app. I think that there should be an update to allow more people in a room at once. I know personally I would like to talk to more then 8 friends at once so maybe it could be possible to allow more people in the room. Like I said it's an overall great app that is just what I would like to see in the future.	{'neg': 0.0, 'neu': 0.722, 'pos': 0.278, 'compound': 0.9862}
4	com.herzick.houseparty	social	3	Certain parts of this are great, the concept and ease at which it allows you to just hop on and hang out with friends, the games as well. But it's very under developed. Quizzes get quite repetitive, the settings menu isn't anywhere near fleshed out enough for a calling app and the UI isn't great. I urge the developer to do all they can to capitalise on its new found popularity because this app could be a staple going forward if it's worked on. Also I've had absolutely no privacy concerns	{'neg': 0.1, 'neu': 0.772, 'pos': 0.128, 'compound': -0.0052}
5	com.herzick.houseparty	social	5	"I've used this app just once while talking with my daughter. Clear video and sound quality! Also a great way to visually share information/ideas. A great tool for visiting and following up with loved ones anywhere! There are games included in the app where loved ones could spend time visiting, having fun, and still being safe. Finally, I further understand that ""group"" calls are possible!? This will be my next venture!"	{'neg': 0.0, 'neu': 0.691, 'pos': 0.309, 'compound': 0.9821}
6	com.herzick.houseparty	social	4	Great. Very reminiscent of Skype on computers back in the day with the addition of games that can be played by all people participating in the call. We did notice a glitch that happened about two and a half hours into a call. Pretty much everyone's camera started flickering. A few people's cameras turned pink. Only way we were able to Force stop the app and clear our caches. Not all that bothersome, really. Not even sure if it was a problem with the program lol	{'neg': 0.07, 'neu': 0.761, 'pos': 0.169, 'compound': 0.8731}
7	com.herzick.houseparty	social	2	Fine for quick video chats, but I can't turn off the volume! I can mute my mic, great. But even when I turn the volume all the way down on my phone, set to silent mode, I still get the voices of everyone in the call. This is fine if you are alone, but if me and my wife both want to get in on the house party on different phones, it causes horrible horrible feedback loops.	{'neg': 0.126, 'neu': 0.722, 'pos': 0.152, 'compound': 0.1386}
8	com.herzick.houseparty	social	2	Cool app to play simple games with friends or family. The problem is that when you connect to the app, it sends an notification to all your friends with this game. If you're on the app then they can just enter without you accepting anything. The worse thing is not that it takes decisions for you but the fact that there's not even permanent settings to stop people from entering your personal space.	{'neg': 0.103, 'neu': 0.805, 'pos': 0.092, 'compound': -0.2124}
9	com.herzick.houseparty	social	5	I don't rate apps a lot, but I really enjoy this one. It makes me feel much closer to my friends. I'd like to see more games in the future but I get the feeling it's fairly new. It drains battery but I mean what do you expect, it's a group video chat app. I haven't encountered any bugs, and it seems to work pretty well, functionality wise. The UI I feel could use a little tweaking but that's a very minor gripe. I'd also like to see a share screen mode for sharing memes Fun app, 5*	{'neg': 0.0, 'neu': 0.689, 'pos': 0.311, 'compound': 0.9907}
10	com.herzick.houseparty	social	4	"A couple of people mentioned a lack of security, which had me concerned. But, when I fully checked it out on my phone, I saw some of the very features they saw are lacking. There's the ability to ""Send out My Notifications,"" "" Get my Friends Notifications,"" as well as Mute or Ghost someone. So, just have a close look and you might find all kinds of things you didn't know were there. So far, I like it, but I'm new to it. For now, I'm going to give it a 4 star rating."	{'neg': 0.043, 'neu': 0.815, 'pos': 0.141, 'compound': 0.8884}
11	com.herzick.houseparty	social	2	Confusing interface, and somehow you wind up on a call with someone without touching anything. Also, the sound the notifications make whenever someone is calling or saying hi or whatever it is, is the most annoying, high pitched whistling sound ever. It should never be considered as a sound to use for any kind of notification. It's made me jump out of my seat on several occasions.	{'neg': 0.07, 'neu': 0.93, 'pos': 0.0, 'compound': -0.5984}
12	com.herzick.houseparty	social	1	Sadly our first Houseparty experience was an embarrassing failure - riven with bugs and limited user controls, this app is not ready for the market. It was for my wife’s 60th birthday – so kinda important to us. So my sons and I had trialled it three times. All worked well. But the actual function did not go well. After some false starts, I got everyone together and initiated a trivia quiz – only for the questions to disappear from the screen. What followed was a very frustrating half an hour where after a gap, answers would pop up on the screen with 4 x red crosses, then disappear then another answer in 30 seconds or so and so on. This experience was shared by all our guests. There was no way to intervene and so we waited for the quiz to finish but it never did. At the end of the game, unbidden, it rolled into another and so on. We tried logging out and back in – no better. In the end, very frustrated we resorted to Zoom.	{'neg': 0.15, 'neu': 0.82, 'pos': 0.03, 'compound': -0.9685}
13	com.herzick.houseparty	social	5	This app is a very good app for friends and family. What makes the app special is that you can play games while you are on a call. I do think that they should add more game options like UNO or even a board game. My one thing is about my privacy. The app is not encrypted which is interesting. Most apps already have encryption buit in. Sure you can lock the room but I feel like that's not enough. Overall, I didn't have any issues or bugs. Very good and creative app.	{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.9677}
14	com.herzick.houseparty	social	3	This all is so much fun and I'm on it all the time. My only problem is after I accept new friends, they normally have mutual friends that pop up and they can become your friend. Well after I get a new friends the mutual friends pop up for a quick second and then dissapear so I can't add them. Houseparty if your reading this tell me why this is happening. Please.	{'neg': 0.03, 'neu': 0.682, 'pos': 0.288, 'compound': 0.9701}
15	com.herzick.houseparty	social	3	Great concept We had a lot of fun AT FIRST (and this is in a one night time frame) then everything started to repeat. There wasnt enough variety to make this lasting fun. I even noticed in the trivia that one of the answers was wrong. Could have been more, but one for a fact. The question was on the Harry Potter trivia. Who was Marge's sibiling? Well that would have been Mr. Dursley, but they said the answer was Mrs. Dursley. Wrong! Mrs. Dursleys sibling was in fact Lily Potter, not Marge.	{'neg': 0.06, 'neu': 0.845, 'pos': 0.095, 'compound': 0.3802}
16	com.herzick.houseparty	social	3	Cant mute the notification sound for this app, even when my phone is on silent mode, it still has sound when a notification come from this app (Huawei P20 pro). Share screen option still not functional. Should be able to control volume of the people u r calling as well so that the volume can be equalised. Shld have more settings.	{'neg': 0.0, 'neu': 0.932, 'pos': 0.068, 'compound': 0.5106}
17	com.herzick.houseparty	social	5	Works great on mobile! Everything working as it should be and the call quality is generally better than alternatives. The only complaint I have is that using games crashes the whole chat when at least 1 person is on the PC version. I know the browser version is in Beta, I just thought I'd point it out in the app review.	{'neg': 0.033, 'neu': 0.859, 'pos': 0.108, 'compound': 0.7263}
18	com.herzick.houseparty	social	3	Cool concept, but app layout is bizarre and not user friendly. The draw something equivalent game doesn't register many touches and is pretty awful but is fun regardless when you're not having any social interaction. Obnoxious notifications that lead to surprise video chats with friends or acquaintances. I appreciate the app for what it is during the pandemic but I don't feel compelled to use it more than I have (couple times in last few weeks).	{'neg': 0.154, 'neu': 0.641, 'pos': 0.205, 'compound': 0.7299}
19	com.herzick.houseparty	social	2	I'm currently trying to sign up for the first time. When you go to input your birthday, make sure to adjust the year first!! I adjusted the month first, and it perceived my birthday as being 2020, and I can do nothing. I have uninstalled and am reinstalling to try again...	{'neg': 0.0, 'neu': 0.945, 'pos': 0.055, 'compound': 0.4374}
20	com.herzick.houseparty	social	2	It's ok but would be better if the games were expanded (especially the trivia), if our current owned heads up decks from the regular game synced (Because I'm not paying twice), if we could search or see people near us that were on, whether we know them or not so we could join new ppl, and if we could share our screens like in Zoom. Oh and the freezing and the delay even with a good connection. It gets old really fast.	{'neg': 0.047, 'neu': 0.762, 'pos': 0.191, 'compound': 0.9325}
21	com.herzick.houseparty	social	3	I loved using this app but it no longer works on my Microsoft Surface laptop. It says I need to update to a more recent version. I've uninstalled and reinstalled the app and the issue is persistent. It's also annoying that I cannot start a game, with friends, while using my laptop, as opposed to my cell phone. This app drains my phone battery quite quickly so I prefer to use a computer.	{'neg': 0.077, 'neu': 0.842, 'pos': 0.081, 'compound': 0.0644}
22	com.herzick.houseparty	social	5	I've used this several times now with friends, and I really like it. It's been a smooth experience. For those complaining about it draining your batteries, I'd say that's kind of a given with any kind of video-based app. I just plug my phone in when I use it. I like how convenient it is, and it's been really nice quality every time.	{'neg': 0.025, 'neu': 0.814, 'pos': 0.161, 'compound': 0.8653}
23	com.herzick.houseparty	social	2	Not the best. I had a nice 5-6 hour long chat with no breaks, yet the audio was hard to hear because it cut out a lot. Maybe I hadn't figured out the app entirely with my Samsung Galaxy Tab A, but when playing Chips and Guac the card descriptions are cut off and the cards themselves are extriemely small so they only take up about the length of my thumb. The start and stopping of games or the judge not being in the game has also been an issue with how me and a couple of friends delt with the app.	{'neg': 0.094, 'neu': 0.832, 'pos': 0.074, 'compound': 0.194}
24	com.herzick.houseparty	social	3	I just finished a chat with two friends who live in the Rocky Mtns, and Chicagoland, while I'm on the West Coast. We had a great time, but it took us 40 minutes to get the sound right. I'd rate it higher if it were a more 'stable' platform. A lot of bugs. This from my android phone. The other two had iPhones. Or at least one of them.	{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.7808}
25	com.herzick.houseparty	social	5	comes great games and it really makes you feel like you're really there because you got to play games with your friends at the same time and you were in the video call you can see your friends you can see other people or new friends really cool 😎and plus a lot of people like I'm saying like a lotta YouTubers recommend this and it's actually really good leg is recommended by like the all the famous people and I like like to talk to me	{'neg': 0.0, 'neu': 0.623, 'pos': 0.377, 'compound': 0.9907}
26	com.herzick.houseparty	social	4	Downloaded this app so me and partner could do a gender reveal to our family as we can't have a little gathering/party as planned. Worked brilliantly once everyone had downloaded the app and finally sorted issues with setting up their account. Not sure why some people could easily set up their account and others it took a few hours to sort the issue, but we still got to do what we wanted in a way and chat to our entire family all at once!!	{'neg': 0.017, 'neu': 0.928, 'pos': 0.055, 'compound': 0.5111}
27	com.herzick.houseparty	social	4	Despite all the negative reviews that state the fact that this app has problems on android devices such as deleting your account or uninstalling the app or notification problems, mine works just fine, if you still get notifications on Do Not Disturb, when a houseparty notification pops up, hold on it to then turn of notifications. The only reason I dont give this app a 5 star is because it uses queit a lot of battery and internet data. However this app is really great for having fun with friends	{'neg': 0.051, 'neu': 0.779, 'pos': 0.17, 'compound': 0.909}
28	com.herzick.houseparty	social	2	My facebook friends won't load and neither will my phones address book. It makes for a quiet House Party. I have reached out multiple times to the developer to no avail. Poor customer service, but otherwise a great functioning chat app. Just work out the bugs and I'll be happy to upgrade the rating!	{'neg': 0.024, 'neu': 0.707, 'pos': 0.269, 'compound': 0.9457}
29	com.herzick.houseparty	social	1	Cool concept, doesn't work very well. First, I couldn't find a way to log out or make sure my camera and audio was off. That's a little unsettling. Then one night I was on with some friends and things were getting really glitchy so I uninstalled and reinstalled. After that it wouldn't work at all. I'm on a galaxy S9+.	{'neg': 0.031, 'neu': 0.852, 'pos': 0.117, 'compound': 0.6877}
30	com.herzick.houseparty	social	3	Nice concept needs work. I have a Samsung A50 with one of the latest os and this app kicks me off wifi when I use it. It drains battery and data cause it refuses to stay connected to wifi. When I close the app I am instantly connected back to my wifi. 🙄 please fix this. Also needs more content, options started to recycle within a few mins of play.	{'neg': 0.0, 'neu': 0.903, 'pos': 0.097, 'compound': 0.7579}
31	com.herzick.houseparty	social	4	I use houseparty all the time with my friends! The app is very convenient when wanting to talk. However, this could just be the wifi for each person, but whenever I'm on a call the connection will just completely give out. Though, it tends to fix itself pretty quickly.	{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.7678}
32	com.herzick.houseparty	social	2	Limited selection of games, and the categories often repeat. Also, the players keep dropping and the connection can be kind of choppy. For free, it's better than nothing, but I probably won't be using this once the pandemic passes.	{'neg': 0.035, 'neu': 0.866, 'pos': 0.099, 'compound': 0.3919}
33	com.herzick.houseparty	social	4	It is a really good and and really fun but the thing is that it starts lagging alot and sometimes has a echo so you have to hang up and call again. Another thing is that sometimes people will cut off and they would freeze and it is just this app because when I faced time with the same people on a different app there audio and camera is completely fine.	{'neg': 0.067, 'neu': 0.827, 'pos': 0.106, 'compound': 0.2576}
34	com.herzick.houseparty	social	3	The app setup and flow is easy and runs well, but the game variety runs out quickly. It's especially frustrating that we have already purchased extra decks in heads-up but those don't appear in houseparty; it's silly to have to pay for the same thing twice. Good enough for a free app, I suppose.	{'neg': 0.089, 'neu': 0.714, 'pos': 0.197, 'compound': 0.7236}
35	com.herzick.houseparty	social	3	It generally don't give a review. My thoughts on the app are only improvements. One should be able to enter the app without everybody knowing they're there. I shouldn't have to know my contacts now on your app. Maybe this is something I opted into, but I don't like that at all. If I go on to accept a friend request automatically someone can join me with my permission.	{'neg': 0.034, 'neu': 0.812, 'pos': 0.154, 'compound': 0.8585}
36	com.herzick.houseparty	social	5	I see reviews about the app feeling unfinished and not up to par and blah blah blah. I haven't seen my family in months due to this virus but this app not only let me see their smiling faces, but we all got to play a variety of fun games with each other, and it left me feeling happy and emotionally satisfied. These are interactions that most of us value now more than we ever did, and Houseparty is a great tool for that purpose. It's a fantastic app.	{'neg': 0.031, 'neu': 0.65, 'pos': 0.319, 'compound': 0.9897}
37	com.herzick.houseparty	social	3	Cool app-- def nice in times of Corona. But if I'm handing over all this priceless personal data about myself, I'm hoping for some better games to play on the app. Maybe like battleship or idk Tetris or something so that we have at least a variety to choose from. Feel limited as of now. Still handing over data though so y'all win.	{'neg': 0.063, 'neu': 0.653, 'pos': 0.284, 'compound': 0.9636}
38	com.herzick.houseparty	social	5	Love this App! Had a virtual happy hour and game night with my family. It was an absolute blast! I'm in Illinois and they are in Florida. It was a great way to connect. We enjoyed ourselves so much that we will be connecting weekly during the quarantine. Thank you for this wonderful app!	{'neg': 0.0, 'neu': 0.676, 'pos': 0.324, 'compound': 0.9752}
39	com.herzick.houseparty	social	3	Fun for the first time. I was hoping that the packs I already bought for Heads Up would show up in Houseparty, but it looks like I would have to buy them again here, which is not worth it.	{'neg': 0.045, 'neu': 0.79, 'pos': 0.165, 'compound': 0.6487}
40	com.herzick.houseparty	social	1	You actually need a house for this app -- everyone needs to be in their own room to avoid party-destroying audio feedback loops. The App's UX is also poor; unintuitive UI (e.g. settings are burried under a small icon on the friends page)	{'neg': 0.11, 'neu': 0.826, 'pos': 0.064, 'compound': -0.296}
41	com.herzick.houseparty	social	3	Solid 3-3.5 so far! Great idea, I can see where some of the features are in the process of being added to the app that aren't clickable yet(purchasable games I presume is one). Glitches out a little bit on certain devices, my friend was having troubles with his iPad being signed in on other devices and it was glitching a bit on my S10 when joining friends. It does eat battery on the S10 which is saying a lot and that can be improved. I would love to see maybe some adult age gated drinking games.	{'neg': 0.027, 'neu': 0.781, 'pos': 0.193, 'compound': 0.9566}
42	com.herzick.houseparty	social	1	"I wish I could do zero stars. I can't say anything about the app because it won't ""update"" and let me open it. I literally have hit the update button 10 times after installing it and trying to use it right away. It installs and just has the update button there again."	{'neg': 0.0, 'neu': 0.95, 'pos': 0.05, 'compound': 0.4019}
43	com.herzick.houseparty	social	3	It's nice overall, though I do have suggestions. It drains your battery! My battery usually lasts at least the whole day, but now im charging it at least twice a day. Also, there needs to be more games. The same four games get rly boring after a while. Also kind of glitchy, but not awful	{'neg': 0.049, 'neu': 0.861, 'pos': 0.09, 'compound': 0.3532}
44	com.herzick.houseparty	social	1	"App sucks. Crashes randomly when doing basic tasks. The backend system randomly blocks people that I have added, without any facility to unblock them. Epic responded to a previous review with ""email us and we'll help you"" Sent them an email. Nothing. Zero response. Honestly, they didn't need someone to do corporate espionage to turn me off this app. Their buggy system and poor customer support did it all by themselves."	{'neg': 0.124, 'neu': 0.809, 'pos': 0.067, 'compound': -0.5544}
45	com.herzick.houseparty	social	3	"The issue I'm getting is, when I try to connect my Facebook friends I get a error message ""Uh Oh that didn't work. Ive'd tried to shake to leave feedback within the app. It just doesn't seem to work. I would would love to rate it 5 just them issues are stopping me."	{'neg': 0.117, 'neu': 0.764, 'pos': 0.119, 'compound': 0.4767}
46	com.herzick.houseparty	social	1	Tried this app to see and speak with my family. Unfortunately the longest it would go without interruption was MAYBE 30 seconds. Video windows would go blue and audio lagged. I kept having to log in and out to get video working again. I'm deleting as soon as I post this review.	{'neg': 0.083, 'neu': 0.88, 'pos': 0.038, 'compound': -0.3591}
47	com.herzick.houseparty	social	1	After the latest update, Whenever I'm in a call, every 5 mins it says my internet connection is low, and changes my status to joining, disturbing the call. Kindly fix this issue as my internet connection is perfectly fine.	{'neg': 0.111, 'neu': 0.7, 'pos': 0.189, 'compound': 0.5859}
48	com.herzick.houseparty	social	4	I love the app and use it with the family. I would give it a 5-rating if you added different sidded dice. Me and my friend would use it for d&d or pathfinder while still staying at home. I'm sure others would too. Great app!!!!!	{'neg': 0.0, 'neu': 0.733, 'pos': 0.267, 'compound': 0.9429}
49	com.herzick.houseparty	social	4	This app is really great. The picture is super smooth and the games are great. You can ignore people and lock your rooms which is handy. The main downsides are it sucks your battery life ridiculously not to mention it is a ton of data if your not in a wifi area or out and about. Also it raises the phone temperature.	{'neg': 0.098, 'neu': 0.739, 'pos': 0.164, 'compound': 0.7902}
50	com.herzick.houseparty	social	3	The only thing I didn't like is that when more than one person is talking it blocks out what the other people are saying. So what's the point in it being a house party app if you cant all talk and laugh together like a party? Just easier to facetime really	{'neg': 0.064, 'neu': 0.706, 'pos': 0.229, 'compound': 0.8831}
51	com.herzick.houseparty	social	3	I like this app but now it is giving a lot of trouble at first it was going all good until now ... people taking long to load in the chat it ways saying that you having wifi problems even though some of us using data .... so i don't know what is happen to app sigh .. i really do enjoy this app cause its cool you can play games and talk to people and meet new people but jah why is it giving so much trouble now ... sigh	{'neg': 0.096, 'neu': 0.687, 'pos': 0.216, 'compound': 0.8957}
52	com.herzick.houseparty	social	4	Great app, easy to use, very reliable. A cool addition would be clearer distinction between wave and call buttons. Sometimes I press call instead of wave and a little bit more space between would be helpful. Other than that, best video calling app I think	{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.9482}
53	com.herzick.houseparty	social	2	Sometimes if you turn down the volume, it turns down some of the people in the chat but not all. This is incredibly irritating. All volume coming from the app should be on the same volume slider, no exceptions. This effectively makes the app impossible to mute.	{'neg': 0.131, 'neu': 0.799, 'pos': 0.07, 'compound': -0.5251}
54	com.herzick.houseparty	social	4	Stay in touch with your quaranteam ❤️ Great app! Videocalls and games in the middle. Fin for catching up and social distance drinking even. Could use improvements like extra add-on features. And kind of confusinf that when you swipe left you exit the room. Needs a tutorial(maybe there is but i didnt see?) haha still, really great ❤️	{'neg': 0.046, 'neu': 0.78, 'pos': 0.175, 'compound': 0.8447}
55	com.herzick.houseparty	social	1	I have auto update off and didnt manually update this yet it still updated somehow. This makes me suspicious af about the app, its also just pretty lame in general, like airtime its extremely disappointing after seeing all the ads from people who got paid off to promote it. Its just basic video calling with games like draw.io so when you can just use a better version of video chatting like instagram or skype its pretty useless.	{'neg': 0.12, 'neu': 0.68, 'pos': 0.2, 'compound': 0.7787}
56	com.herzick.houseparty	social	3	The video is smooth and the app is fairly easy to manage. Really annoyed it plays notification sounds when my phone is on vibrate AND I have all notifications through the app shut off. That means I have to sign out completely if I don't want to hear it. Would really like a fix for the sounds.	{'neg': 0.064, 'neu': 0.812, 'pos': 0.124, 'compound': 0.5916}
57	com.herzick.houseparty	social	3	It's crazy because loads of people that we don't know are able to join the call but it's also quite fun with the games on house party but I don't like the fact that when u text someone on house party you can't unsend a message or see if they have read your text but in conclusion overall it's a nice way keep in contact with your friends during Quarantine.	{'neg': 0.05, 'neu': 0.706, 'pos': 0.244, 'compound': 0.9588}
58	com.herzick.houseparty	social	3	When it asked for my phone number, and I wrote my number, it said that my phone number wasn't valid. I tried several time even deleted the app, downloaded it again, signed in again and it sill said it was not a valid phone number. I had the country where the phone number was from right too. With this would be fixed somehow, but the app still works regardless without having to put my phone number.	{'neg': 0.0, 'neu': 0.907, 'pos': 0.093, 'compound': 0.296}
59	com.herzick.houseparty	social	4	I have used this 3 times now and have really enjoyed it. I thought the connection was good and the video was clear. I like having the option of leaving the Room open or locking it so no one can come in. I'm sure I will be using it more during this Quarantine.	{'neg': 0.045, 'neu': 0.737, 'pos': 0.218, 'compound': 0.8758}
60	com.herzick.houseparty	social	4	I use this app almost everyday and I normally have a good report for it but recently its been glitching a lot. I also cant tell when I wave at people which is a little fristrating becuase it would be so helpful if the hand moved when you wave at someone. Other than that it was a very good experience.	{'neg': 0.0, 'neu': 0.784, 'pos': 0.216, 'compound': 0.9474}
61	com.herzick.houseparty	social	4	It's a fun way to chat and play games with family and friends. I like the games they offer, however it would be even better if there was a karaoke game/app or a way to at least play music (I tried using spotify but my friend could only hear me and not my music). What's a house party without music???	{'neg': 0.0, 'neu': 0.725, 'pos': 0.275, 'compound': 0.9493}
62	com.herzick.houseparty	social	5	I love this app so much, I miss my friends and this is amazing to have to see all of them. I like the options that it has like ghost mode which means you won't be notified when someone enters the house or you can have one when people are in the house. The games are also fun, the app is also really easy to use.	{'neg': 0.05, 'neu': 0.681, 'pos': 0.27, 'compound': 0.9608}
63	com.herzick.houseparty	social	5	I've been using it for a few years, and I love it. It's simplistic and easy to use. The quality is very good even over long distances and with iPhone to Android. I've tested it all. You can even have some fun with built-in games. I love this app and I think you will too while social distancing. Stay safe!	{'neg': 0.0, 'neu': 0.72, 'pos': 0.28, 'compound': 0.9682}
64	com.herzick.houseparty	social	1	Their registration process is poor and email validation non-existent. Someone had already registered using my email and I was never notified of an account creation. I had to reset the password and change the profile settings.	{'neg': 0.079, 'neu': 0.867, 'pos': 0.054, 'compound': -0.25}
65	com.herzick.houseparty	social	1	Just keeps losing the connection, and takes several attempts to get back in, I don't have this problem with anything else I need connection for, disappointed, uninstalled !	{'neg': 0.267, 'neu': 0.733, 'pos': 0.0, 'compound': -0.8449}
66	com.herzick.houseparty	social	4	It's a good app especially when u have a android and cant facetime with your friends but for me sometimes I cant see incoming calls from my friends and it get annoying sometimes but other than that I would recommend this app.	{'neg': 0.068, 'neu': 0.712, 'pos': 0.219, 'compound': 0.7814}
67	com.herzick.houseparty	social	1	Just saw blue screens for most of the chat👎🏾 Also, couldn't hear people. Audio and video kept cutting in and out way too often. Some ppl had audio and no video and vice versa. So dissappointed, I haven't seen these people in over 90 days😩	{'neg': 0.106, 'neu': 0.894, 'pos': 0.0, 'compound': -0.5859}
68	com.herzick.houseparty	social	5	There's a lot of negative reviews on this app so I was a bit apprehensive to try it, but it worked perfectly fine for me and my 3 friends. Audio and video quality were good and the games worked without issue. We all had a really fun time on it	{'neg': 0.035, 'neu': 0.654, 'pos': 0.311, 'compound': 0.9663}
69	com.herzick.houseparty	social	1	Needs updating! Lags severely! Deletes on it's own have to keep downloading it to chat with friends. Games lag and are generally going to fast to even read with no options of slowing it down. Would be much better if these were addressed or at least if I dont have to download the app everytime I want to use it	{'neg': 0.151, 'neu': 0.747, 'pos': 0.103, 'compound': -0.5242}
70	com.herzick.houseparty	social	1	Ever since the last update of this app I can no longer use it as it always has connection issues. I have no connection issues with any other app so it's a problem with this app alone. All of my people have all switched to zoom as we have no issues there.	{'neg': 0.197, 'neu': 0.803, 'pos': 0.0, 'compound': -0.8612}
71	com.herzick.houseparty	social	1	The app its self is okay but I've had a few problems with it 1 being when I'm in a call of 3 we have alot of connection issues and breaks up alot. The app used to have games you needed to pay for, so I bought one (99¢) then, after a few months made all the games free and to this day they haven't paid the money back!	{'neg': 0.067, 'neu': 0.851, 'pos': 0.081, 'compound': 0.2598}
