appId,content,score,thumbsUpCount,category
com.herzick.houseparty,I like it so far! It is a great app to use during social distancing for sure! It keeps you connected to friends and family that lives outside of your home. I would like to see more games if possible and filters fun ones as well as ones that make you look better when you get an unexpected request and you're a mess! Lmao😂 Thank you to the developers of this app! Great job and what great timing!!!,4,5,social
com.herzick.houseparty,"I have the OnePlus 7 Pro phone which features a pop-up selfie-camera. I can tell you, this app constantly messes with the camera, and it's super frustrating. It doesn't need to use my camera when I'm not engaged in any actives, and just changing settings and adding friends. 😡 And for others, it's a privacy concern when an app is constantly turning on the camera for use. For me it's obvious, but for many people, they wouldn't even know... and the app could be watching.",2,50,social
com.herzick.houseparty,"This is a great app, great concept, my only complaint is that if you want to be with more than 2 people in the call, the app starts to freeze for everybody especially during games. So is not friendly for more than 2 people calls",3,32,social
com.herzick.houseparty,It is a very useful and wonderful app over all but I just wanted to write about something that could be useful to many people including myself along with the app. I think that there should be an update to allow more people in a room at once. I know personally I would like to talk to more then 8 friends at once so maybe it could be possible to allow more people in the room. Like I said it's an overall great app that is just what I would like to see in the future.,4,0,social
com.herzick.houseparty,"Certain parts of this are great, the concept and ease at which it allows you to just hop on and hang out with friends, the games as well. But it's very under developed. Quizzes get quite repetitive, the settings menu isn't anywhere near fleshed out enough for a calling app and the UI isn't great. I urge the developer to do all they can to capitalise on its new found popularity because this app could be a staple going forward if it's worked on. Also I've had absolutely no privacy concerns",3,165,social
com.herzick.houseparty,"I've used this app just once while talking with my daughter. Clear video and sound quality! Also a great way to visually share information/ideas. A great tool for visiting and following up with loved ones anywhere! There are games included in the app where loved ones could spend time visiting, having fun, and still being safe. Finally, I further understand that ""group"" calls are possible!? This will be my next venture!",5,98,social
com.herzick.houseparty,"Great. Very reminiscent of Skype on computers back in the day with the addition of games that can be played by all people participating in the call. We did notice a glitch that happened about two and a half hours into a call. Pretty much everyone's camera started flickering. A few people's cameras turned pink. Only way we were able to Force stop the app and clear our caches. Not all that bothersome, really. Not even sure if it was a problem with the program lol",4,73,social
com.herzick.houseparty,"Fine for quick video chats, but I can't turn off the volume! I can mute my mic, great. But even when I turn the volume all the way down on my phone, set to silent mode, I still get the voices of everyone in the call. This is fine if you are alone, but if me and my wife both want to get in on the house party on different phones, it causes horrible horrible feedback loops.",2,109,social
com.herzick.houseparty,"Cool app to play simple games with friends or family. The problem is that when you connect to the app, it sends an notification to all your friends with this game. If you're on the app then they can just enter without you accepting anything. The worse thing is not that it takes decisions for you but the fact that there's not even permanent settings to stop people from entering your personal space.",2,77,social
com.herzick.houseparty,"I don't rate apps a lot, but I really enjoy this one. It makes me feel much closer to my friends. I'd like to see more games in the future but I get the feeling it's fairly new. It drains battery but I mean what do you expect, it's a group video chat app. I haven't encountered any bugs, and it seems to work pretty well, functionality wise. The UI I feel could use a little tweaking but that's a very minor gripe. I'd also like to see a share screen mode for sharing memes Fun app, 5*",5,336,social
com.herzick.houseparty,"A couple of people mentioned a lack of security, which had me concerned. But, when I fully checked it out on my phone, I saw some of the very features they saw are lacking. There's the ability to ""Send out My Notifications,"" "" Get my Friends Notifications,"" as well as Mute or Ghost someone. So, just have a close look and you might find all kinds of things you didn't know were there. So far, I like it, but I'm new to it. For now, I'm going to give it a 4 star rating.",4,135,social
com.herzick.houseparty,"Confusing interface, and somehow you wind up on a call with someone without touching anything. Also, the sound the notifications make whenever someone is calling or saying hi or whatever it is, is the most annoying, high pitched whistling sound ever. It should never be considered as a sound to use for any kind of notification. It's made me jump out of my seat on several occasions.",2,67,social
com.herzick.houseparty,"Sadly our first Houseparty experience was an embarrassing failure - riven with bugs and limited user controls, this app is not ready for the market. It was for my wife’s 60th birthday – so kinda important to us. So my sons and I had trialled it three times. All worked well. But the actual function did not go well. After some false starts, I got everyone together and initiated a trivia quiz – only for the questions to disappear from the screen. What followed was a very frustrating half an hour where after a gap, answers would pop up on the screen with 4 x red crosses, then disappear then another answer in 30 seconds or so and so on. This experience was shared by all our guests. There was no way to intervene and so we waited for the quiz to finish but it never did. At the end of the game, unbidden, it rolled into another and so on. We tried logging out and back in – no better. In the end, very frustrated we resorted to Zoom.",1,184,social
com.herzick.houseparty,"This app is a very good app for friends and family. What makes the app special is that you can play games while you are on a call. I do think that they should add more game options like UNO or even a board game. My one thing is about my privacy. The app is not encrypted which is interesting. Most apps already have encryption buit in. Sure you can lock the room but I feel like that's not enough. Overall, I didn't have any issues or bugs. Very good and creative app.",5,608,social
com.herzick.houseparty,"This all is so much fun and I'm on it all the time. My only problem is after I accept new friends, they normally have mutual friends that pop up and they can become your friend. Well after I get a new friends the mutual friends pop up for a quick second and then dissapear so I can't add them. Houseparty if your reading this tell me why this is happening. Please.",3,10,social
com.herzick.houseparty,"Great concept We had a lot of fun AT FIRST (and this is in a one night time frame) then everything started to repeat. There wasnt enough variety to make this lasting fun. I even noticed in the trivia that one of the answers was wrong. Could have been more, but one for a fact. The question was on the Harry Potter trivia. Who was Marge's sibiling? Well that would have been Mr. Dursley, but they said the answer was Mrs. Dursley. Wrong! Mrs. Dursleys sibling was in fact Lily Potter, not Marge.",3,93,social
com.herzick.houseparty,"Cant mute the notification sound for this app, even when my phone is on silent mode, it still has sound when a notification come from this app (Huawei P20 pro). Share screen option still not functional. Should be able to control volume of the people u r calling as well so that the volume can be equalised. Shld have more settings.",3,5,social
com.herzick.houseparty,"Works great on mobile! Everything working as it should be and the call quality is generally better than alternatives. The only complaint I have is that using games crashes the whole chat when at least 1 person is on the PC version. I know the browser version is in Beta, I just thought I'd point it out in the app review.",5,187,social
com.herzick.houseparty,"Cool concept, but app layout is bizarre and not user friendly. The draw something equivalent game doesn't register many touches and is pretty awful but is fun regardless when you're not having any social interaction. Obnoxious notifications that lead to surprise video chats with friends or acquaintances. I appreciate the app for what it is during the pandemic but I don't feel compelled to use it more than I have (couple times in last few weeks).",3,9,social
com.herzick.houseparty,"I'm currently trying to sign up for the first time. When you go to input your birthday, make sure to adjust the year first!! I adjusted the month first, and it perceived my birthday as being 2020, and I can do nothing. I have uninstalled and am reinstalling to try again...",2,3,social
com.herzick.houseparty,"It's ok but would be better if the games were expanded (especially the trivia), if our current owned heads up decks from the regular game synced (Because I'm not paying twice), if we could search or see people near us that were on, whether we know them or not so we could join new ppl, and if we could share our screens like in Zoom. Oh and the freezing and the delay even with a good connection. It gets old really fast.",2,72,social
com.herzick.houseparty,"I loved using this app but it no longer works on my Microsoft Surface laptop. It says I need to update to a more recent version. I've uninstalled and reinstalled the app and the issue is persistent. It's also annoying that I cannot start a game, with friends, while using my laptop, as opposed to my cell phone. This app drains my phone battery quite quickly so I prefer to use a computer.",3,276,social
com.herzick.houseparty,"I've used this several times now with friends, and I really like it. It's been a smooth experience. For those complaining about it draining your batteries, I'd say that's kind of a given with any kind of video-based app. I just plug my phone in when I use it. I like how convenient it is, and it's been really nice quality every time.",5,24,social
com.herzick.houseparty,"Not the best. I had a nice 5-6 hour long chat with no breaks, yet the audio was hard to hear because it cut out a lot. Maybe I hadn't figured out the app entirely with my Samsung Galaxy Tab A, but when playing Chips and Guac the card descriptions are cut off and the cards themselves are extriemely small so they only take up about the length of my thumb. The start and stopping of games or the judge not being in the game has also been an issue with how me and a couple of friends delt with the app.",2,11,social
com.herzick.houseparty,"I just finished a chat with two friends who live in the Rocky Mtns, and Chicagoland, while I'm on the West Coast. We had a great time, but it took us 40 minutes to get the sound right. I'd rate it higher if it were a more 'stable' platform. A lot of bugs. This from my android phone. The other two had iPhones. Or at least one of them.",3,70,social
com.herzick.houseparty,comes great games and it really makes you feel like you're really there because you got to play games with your friends at the same time and you were in the video call you can see your friends you can see other people or new friends really cool 😎and plus a lot of people like I'm saying like a lotta YouTubers recommend this and it's actually really good leg is recommended by like the all the famous people and I like like to talk to me,5,1,social
com.herzick.houseparty,"Downloaded this app so me and partner could do a gender reveal to our family as we can't have a little gathering/party as planned. Worked brilliantly once everyone had downloaded the app and finally sorted issues with setting up their account. Not sure why some people could easily set up their account and others it took a few hours to sort the issue, but we still got to do what we wanted in a way and chat to our entire family all at once!!",4,11,social
com.herzick.houseparty,"Despite all the negative reviews that state the fact that this app has problems on android devices such as deleting your account or uninstalling the app or notification problems, mine works just fine, if you still get notifications on Do Not Disturb, when a houseparty notification pops up, hold on it to then turn of notifications. The only reason I dont give this app a 5 star is because it uses queit a lot of battery and internet data. However this app is really great for having fun with friends",4,593,social
com.herzick.houseparty,"My facebook friends won't load and neither will my phones address book. It makes for a quiet House Party. I have reached out multiple times to the developer to no avail. Poor customer service, but otherwise a great functioning chat app. Just work out the bugs and I'll be happy to upgrade the rating!",2,19,social
com.herzick.houseparty,"Cool concept, doesn't work very well. First, I couldn't find a way to log out or make sure my camera and audio was off. That's a little unsettling. Then one night I was on with some friends and things were getting really glitchy so I uninstalled and reinstalled. After that it wouldn't work at all. I'm on a galaxy S9+.",1,14,social
com.herzick.houseparty,"Nice concept needs work. I have a Samsung A50 with one of the latest os and this app kicks me off wifi when I use it. It drains battery and data cause it refuses to stay connected to wifi. When I close the app I am instantly connected back to my wifi. 🙄 please fix this. Also needs more content, options started to recycle within a few mins of play.",3,8,social
com.herzick.houseparty,"I use houseparty all the time with my friends! The app is very convenient when wanting to talk. However, this could just be the wifi for each person, but whenever I'm on a call the connection will just completely give out. Though, it tends to fix itself pretty quickly.",4,19,social
com.herzick.houseparty,"Limited selection of games, and the categories often repeat. Also, the players keep dropping and the connection can be kind of choppy. For free, it's better than nothing, but I probably won't be using this once the pandemic passes.",2,3,social
com.herzick.houseparty,It is a really good and and really fun but the thing is that it starts lagging alot and sometimes has a echo so you have to hang up and call again. Another thing is that sometimes people will cut off and they would freeze and it is just this app because when I faced time with the same people on a different app there audio and camera is completely fine.,4,113,social
com.herzick.houseparty,"The app setup and flow is easy and runs well, but the game variety runs out quickly. It's especially frustrating that we have already purchased extra decks in heads-up but those don't appear in houseparty; it's silly to have to pay for the same thing twice. Good enough for a free app, I suppose.",3,25,social
com.herzick.houseparty,"It generally don't give a review. My thoughts on the app are only improvements. One should be able to enter the app without everybody knowing they're there. I shouldn't have to know my contacts now on your app. Maybe this is something I opted into, but I don't like that at all. If I go on to accept a friend request automatically someone can join me with my permission.",3,3,social
com.herzick.houseparty,"I see reviews about the app feeling unfinished and not up to par and blah blah blah. I haven't seen my family in months due to this virus but this app not only let me see their smiling faces, but we all got to play a variety of fun games with each other, and it left me feeling happy and emotionally satisfied. These are interactions that most of us value now more than we ever did, and Houseparty is a great tool for that purpose. It's a fantastic app.",5,19,social
com.herzick.houseparty,"Cool app-- def nice in times of Corona. But if I'm handing over all this priceless personal data about myself, I'm hoping for some better games to play on the app. Maybe like battleship or idk Tetris or something so that we have at least a variety to choose from. Feel limited as of now. Still handing over data though so y'all win.",3,11,social
com.herzick.houseparty,Love this App! Had a virtual happy hour and game night with my family. It was an absolute blast! I'm in Illinois and they are in Florida. It was a great way to connect. We enjoyed ourselves so much that we will be connecting weekly during the quarantine. Thank you for this wonderful app!,5,4,social
com.herzick.houseparty,"Fun for the first time. I was hoping that the packs I already bought for Heads Up would show up in Houseparty, but it looks like I would have to buy them again here, which is not worth it.",3,1,social
com.herzick.houseparty,You actually need a house for this app -- everyone needs to be in their own room to avoid party-destroying audio feedback loops. The App's UX is also poor; unintuitive UI (e.g. settings are burried under a small icon on the friends page),1,0,social
com.herzick.houseparty,"Solid 3-3.5 so far! Great idea, I can see where some of the features are in the process of being added to the app that aren't clickable yet(purchasable games I presume is one). Glitches out a little bit on certain devices, my friend was having troubles with his iPad being signed in on other devices and it was glitching a bit on my S10 when joining friends. It does eat battery on the S10 which is saying a lot and that can be improved. I would love to see maybe some adult age gated drinking games.",3,351,social
com.herzick.houseparty,"I wish I could do zero stars. I can't say anything about the app because it won't ""update"" and let me open it. I literally have hit the update button 10 times after installing it and trying to use it right away. It installs and just has the update button there again.",1,5,social
com.herzick.houseparty,"It's nice overall, though I do have suggestions. It drains your battery! My battery usually lasts at least the whole day, but now im charging it at least twice a day. Also, there needs to be more games. The same four games get rly boring after a while. Also kind of glitchy, but not awful",3,812,social
